location,variable,label,manual_n,wiggle_n,manual_mean,wiggle_mean,manual_median,wiggle_median,manual_std,wiggle_std,mean_diff_wiggle_minus_manual,median_diff_wiggle_minus_manual,cohens_d_wiggle_vs_manual,cliffs_delta_wiggle_vs_manual,auc_wiggle_gt_manual,mannwhitney_pvalue,ks_pvalue,mannwhitney_qvalue,abs_cliffs_delta,abs_cohens_d
China,wind_max_prev_48h,"Max wind
previous 48 h (m/s)",5,25,5.404000000000001,5.365999999999999,5.24,5.38,1.4935461157928804,1.3837449186898574,-0.03800000000000203,0.13999999999999968,-0.02714366829958545,0.104,0.552,0.738067789102639,0.7347480106100795,0.7948422344182267,0.104,0.02714366829958545
China,gust_mean_prev_48h,"Mean gust
previous 48 h (m/s)",5,25,5.917551020408164,5.829795918367347,6.281632653061226,5.8591836734693885,1.220440242565214,1.2701819321556567,-0.08775510204081627,-0.42244897959183714,-0.06947069873598803,-0.104,0.448,0.738067789102639,0.857928788963272,0.7948422344182267,0.104,0.06947069873598803
China,Hs_mean_prev_48h,"Mean significant
wave height (m)",5,25,0.20101480325729498,0.19649735843080282,0.2268937099117162,0.1964922510878672,0.055089605176169454,0.051790290791625566,-0.004517444826492162,-0.03040145882384901,-0.08641796422662912,-0.104,0.448,0.738067789102639,0.7347480106100795,0.7948422344182267,0.104,0.08641796422662912
China,lambda_p_mean_prev_48h,"Mean peak wavelength
previous 48 h (m)",5,25,7.421006770531804,7.288660670014017,8.164997797956618,7.336579859011943,1.4695657675292964,1.356240237734268,-0.13234610051778706,-0.8284179389446749,-0.09639174773794769,-0.104,0.448,0.738067789102639,0.7347480106100795,0.7948422344182267,0.104,0.09639174773794769
China,D_max_mean_prev_48h,"Mean max divergence
previous 48 h",5,25,0.03243544176013806,0.031713990200452194,0.0365639293658258,0.0317362297862574,0.008740085563461519,0.008205597335539817,-0.000721451559685865,-0.004827699579568405,-0.08708908144857753,-0.104,0.448,0.738067789102639,0.7347480106100795,0.7948422344182267,0.104,0.08708908144857753
China,hours_supercritical_prev_48h,"Supercritical hours
previous 48 h",5,25,49.0,49.0,49.0,49.0,0.0,0.0,0.0,0.0,,0.0,0.5,1.0,1.0,1.0,0.0,
Ireland,wind_steadiness_prev_48h,"Wind steadiness
previous 48 h",25,2,0.8365515454944058,0.623664874471743,0.8828444617374419,0.623664874471743,0.17729127948651166,0.16879867666810613,-0.2128866710226628,-0.2591795872656989,-1.203025495259054,-0.78,0.11,0.07852202940081898,0.05698005698005697,0.8412651399168632,0.78,1.203025495259054
Ireland,wind_std_prev_48h,"Wind variability
previous 48 h (m/s)",25,2,1.324452942561987,1.816807500631326,1.241480182772841,1.816807500631326,0.5034455666476967,0.18362540731356683,0.4923545580693389,0.575327317858485,0.9953813284666746,0.58,0.79,0.19485630387324704,0.20512820512820512,0.8412651399168632,0.58,0.9953813284666746
Ireland,wind_max_prev_48h,"Max wind
previous 48 h (m/s)",25,2,7.1696,7.9799999999999995,7.29,7.9799999999999995,1.7069648502532204,0.8909545442950497,0.8103999999999996,0.6899999999999995,0.4818237356901433,0.34,0.67,0.4588334243712969,0.5185185185185186,0.8412651399168632,0.34,0.4818237356901433
Ireland,coherence_mean_prev_48h,"Coherence mean
previous 48 h",25,2,0.9894026755685836,0.9928314629211874,0.9946977247118524,0.9928314629211874,0.01443167987164825,0.00015700257804666972,0.003428787352603768,-0.0018662617906649581,0.2424861720987614,-0.34,0.33,0.4588334243712969,0.3133903133903135,0.8412651399168632,0.34,0.2424861720987614
